,Quarter,Time,Tm,Detail,IND,DET
0,1.0,8:49,Lions,Jason Hanson 48 yard field goal,0,3
1,1.0,6:29,Colts,Donnie Avery 17 yard pass from Andrew Luck (Adam Vinatieri kick),7,3
2,1.0,1:48,Lions,Brandon Pettigrew 16 yard pass from Matthew Stafford (Jason Hanson kick),7,10
3,2.0,11:27,Lions,Mikel Leshoure 6 yard rush (Jason Hanson kick),7,17
4,2.0,9:47,Colts,Coby Fleener 26 yard pass from Andrew Luck (Adam Vinatieri kick),14,17
5,2.0,7:17,Lions,Jason Hanson 33 yard field goal,14,20
6,2.0,3:46,Lions,Jason Hanson 52 yard field goal,14,23
7,3.0,12:05,Colts,Vick Ballard 11 yard rush (Adam Vinatieri kick),21,23
8,3.0,0:02,Lions,Calvin Johnson 46 yard pass from Matthew Stafford (Jason Hanson kick),21,30
9,4.0,8:41,Lions,Jason Hanson 31 yard field goal,21,33
10,4.0,2:39,Colts,LaVon Brazill 42 yard pass from Andrew Luck (Adam Vinatieri kick),28,33
11,4.0,0:00,Colts,Donnie Avery 14 yard pass from Andrew Luck (Adam Vinatieri kick),35,33
