,Quarter,Tm,Detail,GNB,SFO
0,1.0,49ers,Joe Arenas 7 yard rush (Gordie Soltau kick),0,7
1,1.0,49ers,Gordie Soltau 32 yard field goal,0,10
2,2.0,Packers,Bart Starr 1 yard rush (Fred Cone kick),7,10
3,2.0,Packers,Joe Johnson 11 yard pass from Bart Starr (Fred Cone kick),14,10
4,2.0,Packers,Fred Cone 18 yard field goal,17,10
5,2.0,Packers,Fred Cone 37 yard field goal,20,10
6,3.0,49ers,Gordie Soltau 35 yard field goal,20,13
7,3.0,49ers,Joe Perry 9 yard rush (Gordie Soltau kick),20,20
8,4.0,49ers,Joe Perry 2 yard rush (Gordie Soltau kick),20,27
