,Quarter,Time,Tm,Detail,CLE,CIN
0,1.0,3:43,Browns,Travis Prentice 16 yard rush (Phil Dawson kick),7,0
1,2.0,14:33,Bengals,Ron Dugans 4 yard pass from Akili Smith (Neil Rackers kick),7,7
2,2.0,11:20,Browns,Mark Campbell 5 yard pass from Tim Couch (Phil Dawson kick),14,7
3,3.0,6:29,Browns,Phil Dawson 30 yard field goal,17,7
4,4.0,11:47,Browns,Marc Edwards 5 yard pass from Tim Couch (Phil Dawson kick),24,7
