,Quarter,Tm,Detail,STL,DAL
0,1.0,Cardinals,Mel Gray 9 yard pass from Jim Hart (Jim Bakken kick),7,0
1,2.0,Cardinals,Jim Bakken 23 yard field goal,10,0
2,2.0,Cowboys,Tony Dorsett 7 yard rush (Rafael Septien kick),10,7
3,3.0,Cardinals,"Safety, Thaxton blocked punt out of end zone",12,7
4,4.0,Cowboys,Robert Newhouse 2 yard rush (Rafael Septien kick),12,14
5,4.0,Cowboys,Robert Newhouse 15 yard pass from Roger Staubach (Rafael Septien kick),12,21
