,Quarter,Time,Tm,Detail,CHI,HOU
0,1.0,5:57,Bears,Brandon Lloyd 4 yard pass from Kyle Orton (Robbie Gould kick),7,0
1,1.0,3:30,Bears,Robbie Gould 37 yard field goal,10,0
2,2.0,5:50,Texans,Andre Johnson 43 yard pass from Matt Schaub (Kris Brown kick),10,7
3,2.0,1:54,Texans,Andre Johnson 3 yard pass from Matt Schaub (Kris Brown kick),10,14
4,3.0,8:30,Texans,Ryan Moats 2 yard rush (Kris Brown kick),10,21
5,3.0,5:30,Bears,Greg Olsen 1 yard pass from Kyle Orton (Robbie Gould kick),17,21
6,4.0,11:55,Texans,Kris Brown 22 yard field goal,17,24
7,4.0,3:24,Texans,Steve Slaton 2 yard rush (Kris Brown kick),17,31
8,4.0,1:31,Bears,Kyle Orton 1 yard rush (Robbie Gould kick),24,31
