,Quarter,Tm,Detail,RAM,MIN
0,1.0,Vikings,Hugh McElhenny 17 yard pass from Fran Tarkenton (Mike Mercer kick),0,7
1,2.0,Vikings,Tommy Mason 1 yard rush (Mike Mercer kick),0,14
2,2.0,Rams,Ollie Matson 69 yard rush (Danny Villanueva kick),7,14
3,2.0,Vikings,Jerry Reichow 51 yard pass from Fran Tarkenton (Mike Mercer kick),7,21
4,2.0,Rams,Red Phillips 10 yard pass from Zeke Bratkowski (Danny Villanueva kick),14,21
5,3.0,Rams,Dick Bass 73 yard rush (Danny Villanueva kick),21,21
6,3.0,Vikings,Jerry Reichow 9 yard pass from Fran Tarkenton (Mike Mercer kick),21,28
7,3.0,Vikings,Ray Hayes 2 yard rush (Mike Mercer kick),21,35
8,4.0,Vikings,Gordie Smith 12 yard pass from Fran Tarkenton (Mike Mercer kick),21,42
