,Quarter,Time,Tm,Detail,DAL,CIN
0,1.0,,Bengals,Darnay Scott 67 yard pass from Jeff Blake (Doug Pelfrey kick),0,7
1,2.0,0:36,Bengals,Darnay Scott 55 yard pass from Jeff Blake (Doug Pelfrey kick),0,14
2,2.0,0:36,Cowboys,Alvin Harper 27 yard pass from Troy Aikman (Chris Boniol kick),7,14
3,2.0,0:36,Bengals,Doug Pelfrey 22 yard field goal,7,17
4,2.0,0:36,Cowboys,Michael Irvin 10 yard pass from Troy Aikman (Chris Boniol kick),14,17
5,3.0,0:36,Cowboys,Chris Boniol 37 yard field goal,17,17
6,3.0,0:36,Bengals,Doug Pelfrey 33 yard field goal,17,20
7,3.0,0:36,Cowboys,Chris Boniol 43 yard field goal,20,20
8,4.0,0:36,Cowboys,Chris Boniol 38 yard field goal,23,20
