,Quarter,Tm,Detail,BKN,NYG
0,1,Giants,Ward Cuff 45 yard touchdown on a lateral (Tillie Manton kick),0,7
1,2,Giants,Red Corzine 23 yard pass from Ed Danowski (Tillie Manton kick),0,14
2,3,Giants,Ward Cuff 23 yard pass from Tuffy Leemans (Tillie Manton kick),0,21
