,Quarter,Tm,Detail,PIT,NYG
0,1.0,Steelers,Gary Glick 35 yard field goal,3,0
1,2.0,Giants,Ken MacAfee 14 yard pass from Charlie Conerly (Ben Agajanian kick),3,7
2,2.0,Giants,Alex Webster 21 yard pass from Charlie Conerly (Ben Agajanian kick),3,14
3,2.0,Giants,Ben Agajanian 14 yard field goal,3,17
4,3.0,Giants,Frank Gifford 1 yard rush (Ben Agajanian kick),3,24
5,3.0,Giants,Kyle Rote 19 yard pass from Charlie Conerly (Ben Agajanian kick),3,31
6,4.0,Steelers,Elbie Nickel 14 yard pass from Ted Marchibroda (Gary Glick kick),10,31
7,4.0,Giants,Gene Filipski 35 yard rush (Ben Agajanian kick),10,38
