,Quarter,Tm,Detail,CHI,WAS
0,2.0,Bears,Charlie Bivins 21 yard pass from Billy Wade,6,0
1,2.0,Redskins,Bobby Mitchell 12 yard pass from Sonny Jurgensen (Jim Martin kick),6,7
2,2.0,Redskins,Angelo Coia 59 yard pass from Sonny Jurgensen,6,13
3,3.0,Bears,Johnny Morris 3 yard pass from Billy Wade (Bob Jencks kick),13,13
4,4.0,Redskins,Angelo Coia 10 yard pass from Sonny Jurgensen (Jim Martin kick),13,20
5,4.0,Bears,Joe Marconi 3 yard pass from Billy Wade (Bob Jencks kick),20,20
6,4.0,Redskins,Preston Carpenter 15 yard pass from Sonny Jurgensen (Jim Martin kick),20,27
