,Quarter,Tm,Detail,NYG,SEA
0,1.0,Seahawks,Gordon Hudson 16 yard pass from Dave Krieg (Norm Johnson kick),0,7
1,2.0,Giants,Solomon Miller 32 yard pass from Phil Simms,6,7
2,2.0,Giants,Raul Allegre 23 yard field goal,9,7
3,3.0,Seahawks,Norm Johnson 25 yard field goal,9,10
4,4.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),9,17
5,4.0,Giants,Raul Allegre 31 yard field goal,12,17
