,Quarter,Tm,Detail,OAK,SDG
0,1.0,Chargers,Ray Wersching 27 yard field goal,0,3
1,2.0,Raiders,George Blanda 18 yard field goal,3,3
2,2.0,Raiders,George Blanda 15 yard field goal,6,3
3,3.0,Chargers,Jim Thaxton 20 yard pass from Dan Fouts (Ray Wersching kick),6,10
4,3.0,Raiders,Cliff Branch 54 yard pass from Ken Stabler (George Blanda kick),13,10
5,3.0,Chargers,Jerry LeVias 36 yard pass from Dan Fouts (Ray Wersching kick),13,17
6,4.0,Raiders,Marv Hubbard 1 yard rush (George Blanda kick),20,17
7,4.0,Raiders,Bob Moore 26 yard pass from Ken Stabler (George Blanda kick),27,17
