,Quarter,Tm,Detail,RAM,CLE
0,1.0,Rams,Frank Corral 25 yard field goal,3,0
1,1.0,Browns,Don Cockroft 41 yard field goal,3,3
2,1.0,Browns,Ozzie Newsome 9 yard rush (Don Cockroft kick),3,10
3,2.0,Rams,Frank Corral 46 yard field goal,6,10
4,2.0,Browns,Mike Pruitt 1 yard rush (Don Cockroft kick),6,17
5,2.0,Rams,Frank Corral 27 yard field goal,9,17
6,3.0,Browns,Reggie Rucker 31 yard pass from Brian Sipe (Don Cockroft kick),9,24
7,4.0,Rams,Frank Corral 48 yard field goal,12,24
8,4.0,Browns,Greg Pruitt 57 yard rush,12,30
9,4.0,Rams,Ron Jessie 22 yard pass from Pat Haden (Frank Corral kick),19,30
