,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chargers,Rolf Benirschke 40 yard field goal,0,3
1,2.0,Chargers,Larry Dorsey 26 yard pass from James Harris (Rolf Benirschke kick),0,10
2,3.0,Chiefs,Walter White 5 yard pass from Tony Adams (Jan Stenerud kick),7,10
3,3.0,Chargers,Rolf Benirschke 47 yard field goal,7,13
4,4.0,Chargers,Rolf Benirschke 24 yard field goal,7,16
5,4.0,Chiefs,Tony Reed 1 yard rush (Jan Stenerud kick),14,16
6,4.0,Chiefs,Tim Gray 15 yard defensive fumble return (Jan Stenerud kick),21,16
