,Quarter,Time,Tm,Detail,TEN,DET
0,1.0,13:30,Titans,Chris Johnson 6 yard rush (Rob Bironas kick),7,0
1,1.0,10:30,Lions,Jason Hanson 53 yard field goal,7,3
2,1.0,8:21,Titans,Chris Johnson 58 yard rush (Rob Bironas kick),14,3
3,1.0,2:22,Titans,Dave Ball 15 yard interception return (Rob Bironas kick),21,3
4,2.0,14:20,Titans,LenDale White 6 yard rush (Rob Bironas kick),28,3
5,2.0,2:48,Titans,LenDale White 2 yard rush (Rob Bironas kick),35,3
6,2.0,0:34,Lions,Michael Gaines 2 yard pass from Daunte Culpepper (Jason Hanson kick),35,10
7,3.0,12:04,Titans,Rob Bironas 49 yard field goal,38,10
8,3.0,2:24,Titans,Rob Bironas 41 yard field goal,41,10
9,4.0,10:23,Titans,Rob Bironas 45 yard field goal,44,10
10,4.0,4:29,Titans,Rob Bironas 43 yard field goal,47,10
