,Quarter,Tm,Detail,OAK,CIN
0,1.0,Raiders,Neal Colzie 32 yard defensive fumble return,6,0
1,2.0,Raiders,Raymond Chester 5 yard pass from Ken Stabler (Errol Mann kick),13,0
2,2.0,Bengals,Pete Johnson 4 yard rush (Chris Bahr kick),13,7
3,2.0,Raiders,Dave Casper 25 yard pass from Ken Stabler (Errol Mann kick),20,7
4,3.0,Raiders,Morris Bradshaw 11 yard pass from Ken Stabler (Errol Mann kick),27,7
5,4.0,Bengals,Isaac Curtis 25 yard pass from Ken Anderson (Chris Bahr kick),27,14
6,4.0,Bengals,Archie Griffin 10 yard pass from Ken Anderson (Chris Bahr kick),27,21
7,4.0,Raiders,Mark van Eeghen 11 yard rush (Errol Mann kick),34,21
