,Quarter,Tm,Detail,CHI,NYG
0,1.0,Giants,Ben Agajanian 17 yard field goal,0,3
1,2.0,Giants,Kyle Rote 17 yard pass from Don Heinrich (Ben Agajanian kick),0,10
2,3.0,Giants,Alex Webster 2 yard rush (Ben Agajanian kick),0,17
3,3.0,Bears,George Blanda 22 yard field goal,3,17
4,4.0,Bears,Harlon Hill 79 yard pass from Bill McColl (George Blanda kick),10,17
5,4.0,Bears,Harlon Hill 56 yard pass from Ed Brown (George Blanda kick),17,17
