,Quarter,Tm,Detail,PIT,BUF
0,2.0,Steelers,Franco Harris 2 yard rush (Roy Gerela kick),7,0
1,2.0,Steelers,Terry Bradshaw 1 yard rush (Roy Gerela kick),14,0
2,2.0,Steelers,Roy Gerela 29 yard field goal,17,0
3,3.0,Bills,O.J. Simpson 94 yard rush (John Leypoldt kick),17,7
4,3.0,Steelers,Franco Harris 18 yard rush (Roy Gerela kick),24,7
5,4.0,Bills,Bob Chandler 11 yard pass from Dennis Shaw (John Leypoldt kick),24,14
6,4.0,Steelers,Franco Harris 17 yard pass from Terry Bradshaw (Roy Gerela kick),31,14
7,4.0,Bills,Bob Chandler 4 yard pass from Dennis Shaw (John Leypoldt kick),31,21
8,4.0,Steelers,John Fuqua 4 yard rush (Roy Gerela kick),38,21
