,Quarter,Time,Tm,Detail,STL,SFO
0,1,8:11,Rams,Greg Zuerlein 33 yard field goal,3,0
1,2,14:52,49ers,Anquan Boldin 33 yard pass from Blaine Gabbert (Phil Dawson kick),3,7
2,2,9:03,49ers,Phil Dawson 26 yard field goal,3,10
3,2,2:43,Rams,Greg Zuerlein 32 yard field goal,6,10
4,2,1:31,Rams,Tre Mason 4 yard rush (Greg Zuerlein kick),13,10
5,2,0:04,Rams,Greg Zuerlein 44 yard field goal,16,10
6,3,9:37,49ers,Phil Dawson 28 yard field goal,16,13
7,4,4:28,49ers,Phil Dawson 38 yard field goal,16,16
8,OT,3:27,49ers,Phil Dawson 23 yard field goal,16,19
