,Quarter,Tm,Detail,MIN,CHI
0,1.0,Bears,Bobby Douglass 1 yard rush (Mac Percival kick),0,7
1,2.0,Bears,Mac Percival 31 yard field goal,0,10
2,2.0,Vikings,Fred Cox 41 yard field goal,3,10
3,2.0,Vikings,John Beasley 3 yard pass from Fran Tarkenton (Fred Cox kick),10,10
4,2.0,Vikings,Fred Cox 25 yard field goal,13,10
5,4.0,Vikings,Fred Cox 14 yard field goal,16,10
6,4.0,Vikings,Fred Cox 11 yard field goal,19,10
7,4.0,Bears,Mac Percival 12 yard field goal,19,13
8,4.0,Vikings,Fred Cox 35 yard field goal,22,13
