,Quarter,Tm,Detail,NYG,CRD
0,1.0,Giants,Frank Gifford 8 yard rush (Pat Summerall kick),7,0
1,1.0,Giants,Frank Gifford 8 yard rush (Pat Summerall kick),14,0
2,2.0,Giants,Frank Gifford 3 yard rush (Pat Summerall kick),21,0
3,2.0,Giants,Alex Webster 7 yard rush,27,0
4,2.0,Cardinals,John David Crow fumble recovery in end zone (Bobby Joe Conrad kick),27,7
5,3.0,Giants,Alex Webster 1 yard rush (Pat Summerall kick),34,7
6,4.0,Giants,Pat Summerall 28 yard field goal,37,7
