,Quarter,Tm,Detail,FRN,CLE
0,1.0,Bulldogs,"Safety,",0,2
1,2.0,Bulldogs,Ossie Wiberg 20 yard interception return (Benny Friedman kick),0,9
2,3.0,Bulldogs,Herb DeWitz unknown yard rush (Benny Friedman kick),0,16
3,3.0,Bulldogs,Benny Friedman 30 yard rush (Benny Friedman kick),0,23
4,4.0,Bulldogs,Rex Thomas unknown yard pass from Benny Friedman (Benny Friedman kick),0,30
5,4.0,Bulldogs,Frank Kelley 14 yard rush (Benny Friedman kick),0,37
