,Quarter,Tm,Detail,GNB,ATL
0,1,Falcons,Dave Hampton 5 yard rush (Nick Mike-Mayer kick),0,7
1,2,Falcons,Nick Mike-Mayer 47 yard field goal,0,10
2,3,Packers,Chester Marcol 43 yard field goal,3,10
