,Quarter,Tm,Detail,SIS,NYG
0,1,Giants,Len Sedbrook 18 yard rush,0,6
1,3,Stapletons,Ken Strong 63 yard pass from Doug Wycoff (Ken Strong kick),7,6
2,4,Giants,Benny Friedman 42 yard field goal,7,9
