,Quarter,Time,Tm,Detail,MIN,DAL
0,1.0,,Cowboys,Troy Aikman 2 yard rush (Chris Boniol kick),0,7
1,2.0,,Cowboys,Chris Boniol 28 yard field goal,0,10
2,2.0,9:43,Cowboys,Emmitt Smith 37 yard rush (Chris Boniol kick),0,17
3,2.0,9:43,Cowboys,George Teague 29 yard interception return (Chris Boniol kick),0,24
4,2.0,9:43,Cowboys,Chris Boniol 31 yard field goal,0,27
5,2.0,9:43,Cowboys,Chris Boniol 22 yard field goal,0,30
6,3.0,9:43,Vikings,Cris Carter 30 yard pass from Brad Johnson (Scott Sisson kick),7,30
7,3.0,9:43,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),7,37
8,4.0,9:43,Cowboys,Chris Boniol 25 yard field goal,7,40
9,4.0,9:43,Vikings,Brad Johnson 5 yard rush (Cris Carter pass from Brad Johnson ),15,40
