,Quarter,Tm,Detail,NYG,CLE
0,1.0,Browns,Leroy Kelly 23 yard rush (Don Cockroft kick),0,7
1,1.0,Browns,Leroy Kelly 30 yard rush (Don Cockroft kick),0,14
2,2.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),0,21
3,2.0,Giants,Pete Gogolak 27 yard field goal,3,21
4,2.0,Giants,Aaron Thomas 23 yard pass from Fran Tarkenton (Pete Gogolak kick),10,21
5,3.0,Giants,Junior Coffey 2 yard pass from Fran Tarkenton (Pete Gogolak kick),17,21
6,4.0,Browns,Gary Collins 24 yard pass from Bill Nelsen (Don Cockroft kick),17,28
