,Quarter,Tm,Detail,POT,NYG
0,2,Giants,Ox Eckhardt 3 yard rush,0,6
1,3,Giants,Hinkey Haines 20 yard rush (Ox Eckhardt kick),0,13
2,4,Maroons,Tony Latone unknown yard rush (Johnny Budd kick),7,13
