,Quarter,Time,Tm,Detail,LAC,BAL
0,1.0,6:59,Chargers,Michael Badgley 21 yard field goal,3,0
1,1.0,1:08,Chargers,Michael Badgley 53 yard field goal,6,0
2,2.0,3:22,Chargers,Michael Badgley 40 yard field goal,9,0
3,2.0,0:00,Chargers,Michael Badgley 34 yard field goal,12,0
4,3.0,8:30,Ravens,Justin Tucker 33 yard field goal,12,3
5,4.0,14:44,Chargers,Melvin Gordon 1 yard rush (Mike Williams pass from Philip Rivers),20,3
6,4.0,9:09,Chargers,Michael Badgley 47 yard field goal,23,3
7,4.0,6:33,Ravens,Michael Crabtree 31 yard pass from Lamar Jackson (Justin Tucker kick),23,10
8,4.0,1:59,Ravens,Michael Crabtree 7 yard pass from Lamar Jackson (Justin Tucker kick),23,17
