,Quarter,Tm,Detail,SDG,HOU
0,1.0,Oilers,Larry Moriarty 16 yard rush (Tony Zendejas kick),0,7
1,1.0,Oilers,Drew Hill 8 yard pass from Oliver Luck (Tony Zendejas kick),0,14
2,2.0,Oilers,Tony Zendejas 46 yard field goal,0,17
3,2.0,Chargers,Tim Spencer 1 yard rush (Bob Thomas kick),7,17
4,3.0,Chargers,Lionel James 67 yard pass from Dan Fouts (Bob Thomas kick),14,17
5,3.0,Oilers,Tony Zendejas 52 yard field goal,14,20
6,3.0,Chargers,Buford McGee 2 yard rush (Bob Thomas kick),21,20
7,4.0,Oilers,Mike Rozier 3 yard rush (Tony Zendejas kick),21,27
8,4.0,Chargers,Tim Spencer 15 yard rush (Bob Thomas kick),28,27
9,4.0,Oilers,Mike Rozier 2 yard rush (Tony Zendejas kick),28,34
10,4.0,Chargers,Wes Chandler 11 yard pass from Dan Fouts (Bob Thomas kick),35,34
11,4.0,Oilers,Tony Zendejas 51 yard field goal,35,37
