,Quarter,Tm,Detail,PIT,PHI
0,1.0,Eagles,Bobby Walston 25 yard field goal,0,3
1,2.0,Eagles,Bobby Walston 20 yard field goal,0,6
2,2.0,Steelers,Lynn Chandnois 93 yard kickoff return (Gary Kerkorian kick),7,6
3,2.0,Eagles,John Brewer 1 yard rush (Bobby Walston kick),7,13
4,3.0,Steelers,Ray Mathews 25 yard pass from Jim Finks (Gary Kerkorian kick),14,13
5,4.0,Steelers,Elbie Nickel 54 yard pass from Jim Finks (Gary Kerkorian kick),21,13
6,4.0,Eagles,Bud Grant 17 yard pass from Fred Enke (Bobby Walston kick),21,20
7,4.0,Eagles,Bobby Walston 24 yard field goal,21,23
8,4.0,Eagles,Bobby Walston 19 yard field goal,21,26
