,Quarter,Tm,Detail,PHI,DAL
0,1.0,Eagles,Tom Dempsey 30 yard field goal,3,0
1,2.0,Eagles,Tom Dempsey 42 yard field goal,6,0
2,2.0,Cowboys,Ron Sellers 37 yard pass from Craig Morton (Toni Fritsch kick),6,7
3,3.0,Cowboys,Lance Alworth 13 yard pass from Craig Morton (Toni Fritsch kick),6,14
4,3.0,Cowboys,Calvin Hill 3 yard rush (Toni Fritsch kick),6,21
5,4.0,Cowboys,Robert Newhouse 1 yard rush (Toni Fritsch kick),6,28
