,Quarter,Time,Tm,Detail,TEN,CAR
0,1.0,12:49,Titans,Steve McNair 7 yard rush (Gary Anderson kick),7,0
1,1.0,8:09,Titans,Eddie Berlin 50 yard pass from Billy Volek (Gary Anderson kick),14,0
2,1.0,4:59,Titans,Gary Anderson 40 yard field goal,17,0
3,2.0,12:34,Titans,Gary Anderson 32 yard field goal,20,0
4,2.0,2:12,Panthers,John Kasay 53 yard field goal,20,3
5,2.0,0:11,Titans,Drew Bennett 22 yard pass from Steve McNair (Gary Anderson kick),27,3
6,4.0,10:44,Titans,Gary Anderson 34 yard field goal,30,3
7,4.0,10:30,Panthers,Steve Smith 67 yard pass from Jake Delhomme (John Kasay kick),30,10
8,4.0,8:07,Titans,Keith Bulluck 32 yard defensive fumble return (Gary Anderson kick),37,10
9,4.0,3:37,Panthers,Nick Goings 8 yard pass from Jake Delhomme (John Kasay kick),37,17
