,Quarter,Tm,Detail,MIN,NOR
0,1.0,Saints,Chuck Muncie 3 yard rush (Rich Szaro kick),0,7
1,1.0,Vikings,Rickey Young 7 yard pass from Fran Tarkenton (Rick Danmeier kick),7,7
2,1.0,Saints,Chuck Muncie 7 yard rush (Rich Szaro kick),7,14
3,2.0,Vikings,Rick Danmeier 44 yard field goal,10,14
4,2.0,Saints,Tony Galbreath 6 yard rush (Rich Szaro kick),10,21
5,2.0,Vikings,Chuck Foreman 1 yard rush (Rick Danmeier kick),17,21
6,2.0,Saints,Rich Szaro 32 yard field goal,17,24
7,4.0,Saints,Tom Myers 97 yard interception return (Rich Szaro kick),17,31
8,4.0,Vikings,Rickey Young 10 yard pass from Fran Tarkenton (Rick Danmeier kick),24,31
