,Quarter,Time,Tm,Detail,DAL,DET
0,2.0,13:28,Cowboys,Emmitt Smith 2 yard rush (Jon Hilbert kick),7,0
1,2.0,9:03,Lions,David Sloan 20 yard pass from Ty Detmer (pass failed),7,6
2,3.0,10:28,Lions,Jason Hanson 47 yard field goal,7,9
3,4.0,14:55,Cowboys,Jon Hilbert 33 yard field goal,10,9
4,4.0,5:37,Lions,Johnnie Morton 16 yard pass from Ty Detmer (pass failed),10,15
