,Quarter,Tm,Detail,DET,TAM
0,1.0,Lions,Willie Green 29 yard pass from Rodney Peete (Jason Hanson kick),7,0
1,1.0,Lions,Herman Moore 63 yard pass from Rodney Peete (Jason Hanson kick),14,0
2,2.0,Lions,Barry Sanders 1 yard rush (Jason Hanson kick),21,0
3,2.0,Buccaneers,Reggie Cobb 1 yard rush (Ken Willis kick),21,7
4,2.0,Lions,Jason Hanson 27 yard field goal,24,7
5,3.0,Lions,Barry Sanders 55 yard rush (Jason Hanson kick),31,7
6,4.0,Lions,Brett Perriman 4 yard pass from Rodney Peete (Jason Hanson kick),38,7
