,Quarter,Tm,Detail,PHI,GNB
0,2.0,Eagles,Roger Ruzek 37 yard field goal,3,0
1,2.0,Eagles,Keith Byars 32 yard pass from Jim McMahon (Roger Ruzek kick),10,0
2,2.0,Eagles,Roger Ruzek 40 yard field goal,13,0
3,3.0,Packers,Chris Jacke 21 yard field goal,13,3
4,4.0,Eagles,Fred Barnett 75 yard pass from Jim McMahon (Roger Ruzek kick),20,3
