,Quarter,Tm,Detail,DEN,HOU
0,1.0,Broncos,Haven Moses 19 yard pass from Charley Johnson (Jim Turner kick),7,0
1,1.0,Oilers,Skip Butler 20 yard field goal,7,3
2,1.0,Oilers,Fred Willis 4 yard rush (Skip Butler kick),7,10
3,2.0,Oilers,Skip Butler 49 yard field goal,7,13
4,2.0,Broncos,Jim Turner 32 yard field goal,10,13
5,2.0,Oilers,Ken Burrough 19 yard rush (Skip Butler kick),10,20
6,2.0,Broncos,Haven Moses 33 yard pass from Charley Johnson (Jim Turner kick),17,20
7,2.0,Broncos,Haven Moses 3 yard pass from Charley Johnson (Jim Turner kick),24,20
8,3.0,Broncos,Bill Thompson 59 yard interception return (Jim Turner kick),31,20
9,3.0,Broncos,Floyd Little 4 yard rush (Jim Turner kick),38,20
10,4.0,Broncos,Billy Van Heusen 62 yard pass from Charley Johnson (Jim Turner kick),45,20
11,4.0,Broncos,Jim Turner 12 yard field goal,48,20
