,Quarter,Time,Tm,Detail,DAL,WAS
0,2.0,14:18,Redskins,Adrian Peterson 1 yard rush (Dustin Hopkins kick),0,7
1,2.0,6:18,Cowboys,Devin Smith 51 yard pass from Dak Prescott (Brett Maher kick),7,7
2,2.0,0:13,Cowboys,Jason Witten 2 yard pass from Dak Prescott (Brett Maher kick),14,7
3,3.0,10:04,Cowboys,Amari Cooper 10 yard pass from Dak Prescott (Brett Maher kick),21,7
4,3.0,4:37,Redskins,Paul Richardson 9 yard pass from Case Keenum (Dustin Hopkins kick),21,14
5,4.0,13:51,Cowboys,Brett Maher 25 yard field goal,24,14
6,4.0,5:11,Cowboys,Ezekiel Elliott 2 yard rush (Brett Maher kick),31,14
7,4.0,2:20,Redskins,Terry McLaurin 1 yard pass from Case Keenum (Dustin Hopkins kick),31,21
