,Quarter,Time,Tm,Detail,IND,NWE
0,1.0,10:49,Colts,Delone Carter 1 yard rush (Adam Vinatieri kick),7,0
1,1.0,7:07,Patriots,Rob Gronkowski 4 yard pass from Tom Brady (Stephen Gostkowski kick),7,7
2,1.0,1:44,Colts,T.Y. Hilton 14 yard pass from Andrew Luck (Adam Vinatieri kick),14,7
3,2.0,12:00,Patriots,Julian Edelman 68 yard punt return (Stephen Gostkowski kick),14,14
4,2.0,10:59,Patriots,Aqib Talib 59 yard interception return (Stephen Gostkowski kick),14,21
5,2.0,5:46,Colts,Adam Vinatieri 47 yard field goal,17,21
6,2.0,1:54,Patriots,Stephen Gostkowski 31 yard field goal,17,24
7,3.0,11:07,Patriots,Julian Edelman 2 yard pass from Tom Brady (Stephen Gostkowski kick),17,31
8,3.0,3:22,Patriots,Rob Gronkowski 24 yard pass from Tom Brady (Stephen Gostkowski kick),17,38
9,4.0,14:47,Patriots,Alfonzo Dennard 87 yard interception return (Stephen Gostkowski kick),17,45
10,4.0,12:32,Colts,T.Y. Hilton 43 yard pass from Andrew Luck (Adam Vinatieri kick),24,45
11,4.0,9:05,Patriots,Stevan Ridley 3 yard rush (Stephen Gostkowski kick),24,52
12,4.0,3:55,Patriots,Shane Vereen 4 yard rush (Stephen Gostkowski kick),24,59
