,Quarter,Tm,Detail,DEN,NOR
0,1.0,Saints,Tom Dempsey 47 yard field goal,0,3
1,1.0,Saints,Tom Dempsey 14 yard field goal,0,6
2,2.0,Broncos,Al Denson 6 yard pass from Pete Liske (Bobby Howfield kick),7,6
3,2.0,Broncos,Jim Whalen 3 yard pass from Pete Liske (Bobby Howfield kick),14,6
4,3.0,Broncos,Bobby Anderson 4 yard rush (Bobby Howfield kick),21,6
5,3.0,Broncos,Bobby Howfield 35 yard field goal,24,6
6,4.0,Broncos,Floyd Little 3 yard rush (Bobby Howfield kick),31,6
