,Quarter,Tm,Detail,PRT,PHI
0,4.0,Spartans,John Cavosie 40 yard field goal,25,0
1,4.0,Spartans,Gene Alford 64 yard rush (John Cavosie kick),22,0
2,3.0,Spartans,Ernie Caddel unknown yard pass from Glenn Presnell,15,0
3,2.0,Spartans,Glenn Presnell 13 yard field goal,9,0
4,2.0,Spartans,Glenn Presnell 30 yard rush,6,0
