,Quarter,Time,Tm,Detail,PIT,TEN
0,1.0,,Oilers,Al Del Greco 34 yard field goal,0,3
1,1.0,,Steelers,Norm Johnson 23 yard field goal,3,3
2,2.0,,Oilers,Rodney Thomas 25 yard rush (Al Del Greco kick),3,10
3,2.0,,Oilers,Al Del Greco 29 yard field goal,3,13
4,3.0,,Oilers,Al Del Greco 26 yard field goal,3,16
5,4.0,,Steelers,Norm Johnson 36 yard field goal,6,16
