,Quarter,Tm,Detail,SFO,DET
0,1.0,Lions,Larry Walton 19 yard pass from Bill Munson (Jim O'Brien kick),0,7
1,1.0,Lions,Larry Walton 49 yard pass from Bill Munson (Jim O'Brien kick),0,14
2,2.0,49ers,Gene Washington 5 yard pass from John Brodie (Bruce Gossett kick),7,14
3,2.0,Lions,Altie Taylor 19 yard rush (Jim O'Brien kick),7,21
4,2.0,49ers,Bruce Gossett 24 yard field goal,10,21
5,2.0,49ers,Bruce Gossett 35 yard field goal,13,21
6,2.0,Lions,Jim O'Brien 39 yard field goal,13,24
7,2.0,49ers,Ted Kwalick 31 yard pass from John Brodie (Bruce Gossett kick),20,24
8,3.0,Lions,Jim O'Brien 10 yard field goal,20,27
9,4.0,Lions,Jim O'Brien 37 yard field goal,20,30
