,Quarter,Time,Tm,Detail,TAM,PIT
0,1.0,13:01,Buccaneers,Mike Evans 7 yard pass from Mike Glennon (Patrick Murray kick),7,0
1,1.0,10:01,Buccaneers,Patrick Murray 50 yard field goal,10,0
2,1.0,6:19,Steelers,Shaun Suisham 25 yard field goal,10,3
3,1.0,0:15,Steelers,Antonio Brown 11 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,10
4,2.0,4:58,Steelers,Antonio Brown 27 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,17
5,3.0,12:27,Buccaneers,Doug Martin 3 yard rush (Patrick Murray kick),17,17
6,3.0,7:50,Steelers,Heath Miller 5 yard pass from Ben Roethlisberger (Shaun Suisham kick),17,24
7,4.0,11:37,Buccaneers,Patrick Murray 27 yard field goal,20,24
8,4.0,0:07,Buccaneers,Vincent Jackson 5 yard pass from Mike Glennon (Patrick Murray kick),27,24
