,Quarter,Tm,Detail,DEN,SDG
0,1.0,Chargers,Anthony Miller 38 yard pass from Stan Humphries (John Carney kick),0,7
1,2.0,Broncos,Mark Jackson 32 yard pass from John Elway (David Treadwell kick),7,7
2,3.0,Chargers,Stan Humphries 2 yard rush (John Carney kick),7,14
3,3.0,Chargers,Derrick Walker 27 yard pass from Stan Humphries (John Carney kick),7,21
4,4.0,Broncos,John Elway 5 yard rush (David Treadwell kick),14,21
5,4.0,Chargers,John Carney 37 yard field goal,14,24
6,4.0,Broncos,Mark Jackson 28 yard pass from John Elway (David Treadwell kick),21,24
