,Quarter,Tm,Detail,GNB,BAL
0,2.0,Packers,Jerry Kramer 23 yard field goal,3,0
1,2.0,Colts,Dick Bielski 34 yard field goal,3,3
2,2.0,Packers,Ron Kramer 25 yard pass from Bart Starr (Jerry Kramer kick),10,3
3,3.0,Colts,Dick Bielski 34 yard field goal,10,6
4,4.0,Packers,Jim Taylor 37 yard rush (Jerry Kramer kick),17,6
