,Quarter,Tm,Detail,BUF,NYJ
0,1.0,Bills,Jim Braxton 1 yard rush (John Leypoldt kick),7,0
1,1.0,Jets,Jerome Barkum 48 yard pass from Joe Namath (Bobby Howfield kick),7,7
2,2.0,Bills,O.J. Simpson 13 yard rush (John Leypoldt kick),14,7
3,2.0,Bills,Bill Cahill 51 yard punt return (John Leypoldt kick),21,7
4,3.0,Bills,Jim Braxton 1 yard rush (John Leypoldt kick),28,7
5,4.0,Bills,John Leypoldt 12 yard field goal,31,7
6,4.0,Bills,John Leypoldt 11 yard field goal,34,7
7,4.0,Jets,Rich Caster 16 yard pass from Joe Namath (Bobby Howfield kick),34,14
