,Quarter,Time,Tm,Detail,IND,KAN
0,1.0,10:05,Chiefs,Damien Williams 10 yard rush (Harrison Butker kick),0,7
1,1.0,6:28,Chiefs,Tyreek Hill 36 yard rush (Harrison Butker kick),0,14
2,2.0,12:13,Chiefs,Harrison Butker 39 yard field goal,0,17
3,2.0,5:56,Colts,Zach Pascal blocked punt recovery in end zone (Adam Vinatieri kick),7,17
4,2.0,1:40,Chiefs,Patrick Mahomes 4 yard rush (Harrison Butker kick),7,24
5,4.0,5:31,Colts,T.Y. Hilton 29 yard pass from Andrew Luck (Adam Vinatieri kick failed),13,24
6,4.0,2:23,Chiefs,Darrel Williams 6 yard rush (Harrison Butker kick),13,31
