,Quarter,Tm,Detail,TAM,MIA
0,1.0,Dolphins,Nat Moore 16 yard pass from Dan Marino (Fuad Reveiz kick),0,7
1,1.0,Dolphins,Jim Jensen 4 yard pass from Dan Marino (Fuad Reveiz kick),0,14
2,2.0,Buccaneers,James Wilder 10 yard rush (Donald Igwebuike kick),7,14
3,2.0,Dolphins,Ron Davenport 1 yard rush (Fuad Reveiz kick),7,21
4,2.0,Dolphins,Fuad Reveiz 20 yard field goal,7,24
5,2.0,Buccaneers,Jimmie Giles 15 yard pass from Steve DeBerg (Donald Igwebuike kick),14,24
6,3.0,Dolphins,Tony Nathan 1 yard rush (Fuad Reveiz kick),14,31
7,3.0,Buccaneers,Jimmie Giles 39 yard pass from Steve DeBerg (Donald Igwebuike kick),21,31
8,3.0,Dolphins,Bruce Hardy 3 yard pass from Dan Marino (Fuad Reveiz kick),21,38
9,4.0,Buccaneers,Jimmie Giles 7 yard pass from Steve DeBerg (Donald Igwebuike kick),28,38
10,4.0,Buccaneers,Jimmie Giles 16 yard pass from Steve DeBerg (Donald Igwebuike kick),35,38
11,4.0,Buccaneers,Donald Igwebuike 38 yard field goal,38,38
12,4.0,Dolphins,Fuad Reveiz 43 yard field goal,38,41
