,Quarter,Tm,Detail,WAS,NYG
0,1.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),7,0
1,1.0,Redskins,Mark Moseley 47 yard field goal,10,0
2,1.0,Giants,Ali Haji-Sheikh 45 yard field goal,10,3
3,1.0,Redskins,Mark Moseley 33 yard field goal,13,3
4,2.0,Redskins,Mark Moseley 38 yard field goal,16,3
5,3.0,Redskins,Mark Moseley 32 yard field goal,19,3
6,3.0,Redskins,Charlie Brown 18 yard pass from Joe Theismann (Mark Moseley kick),26,3
7,4.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),33,3
8,4.0,Giants,Earnest Gray 6 yard pass from Scott Brunner (Ali Haji-Sheikh kick),33,10
9,4.0,Giants,Earnest Gray 22 yard pass from Scott Brunner (Ali Haji-Sheikh kick),33,17
