,Quarter,Tm,Detail,CHI,RAM
0,1.0,Rams,Bob Waterfield 43 yard field goal,0,3
1,2.0,Bears,Al Campana 23 yard rush (Johnny Lujack kick),7,3
2,2.0,Rams,Tom Fears 43 yard pass from Bob Waterfield (Bob Waterfield kick),7,10
3,2.0,Rams,Tom Fears 68 yard pass from Bob Waterfield (Bob Waterfield kick),7,17
4,3.0,Rams,Tom Fears 27 yard pass from Bob Waterfield (Bob Waterfield kick),7,24
5,4.0,Bears,Fred Morrison 4 yard rush (Johnny Lujack kick),14,24
