,Quarter,Tm,Detail,WAS,NYG
0,1.0,Redskins,Charlie Gogolak 37 yard field goal,3,0
1,2.0,Redskins,Bobby Mitchell 7 yard pass from Sonny Jurgensen (Charlie Gogolak kick),10,0
2,2.0,Giants,Pete Gogolak 15 yard field goal,10,3
3,4.0,Giants,Pete Gogolak 18 yard field goal,10,6
4,4.0,Giants,Aaron Thomas 29 yard pass from Earl Morrall (Pete Gogolak kick),10,13
