,Quarter,Tm,Detail,RAM,PIT
0,1.0,Rams,Dwayne Crutchfield 4 yard pass from Vince Ferragamo (Mike Lansford kick),7,0
1,2.0,Steelers,Bennie Cunningham 1 yard pass from David Woodley (Gary Anderson kick),7,7
2,2.0,Steelers,Sam Washington 12 yard interception return (Gary Anderson kick),7,14
3,3.0,Steelers,Gary Anderson 41 yard field goal,7,17
4,3.0,Rams,Drew Hill 57 yard pass from Jeff Kemp (Mike Lansford kick),14,17
5,4.0,Steelers,Louis Lipps 11 yard pass from David Woodley (Gary Anderson kick),14,24
