,Quarter,Time,Tm,Detail,MIA,NYJ
0,1.0,,Jets,Nick Lowery 24 yard field goal,0,3
1,2.0,,Jets,Johnny Mitchell 30 yard pass from Boomer Esiason (Nick Lowery kick),0,10
2,3.0,,Jets,Brad Baxter 3 yard rush (Nick Lowery kick),0,17
3,3.0,,Dolphins,Mark Ingram 10 yard pass from Dan Marino (pass failed),6,17
4,3.0,,Jets,Johnny Mitchell 14 yard pass from Boomer Esiason (Nick Lowery kick),6,24
5,3.0,,Dolphins,Mark Ingram 17 yard pass from Dan Marino (Irving Fryar pass from Dan Marino),14,24
6,4.0,,Dolphins,Mark Ingram 28 yard pass from Dan Marino (Pete Stoyanovich kick),21,24
7,4.0,,Dolphins,Mark Ingram 8 yard pass from Dan Marino (Pete Stoyanovich kick),28,24
