,Quarter,Tm,Detail,KAN,NYJ
0,1.0,Jets,Bobby Humphery 44 yard pass from Pat Ryan (Pat Leahy kick),0,7
1,2.0,Jets,Mickey Shuler 16 yard pass from Pat Ryan (Pat Leahy kick),0,14
2,3.0,Jets,Mark Gastineau defensive fumble recovery in end zone (Pat Ryan run),0,21
3,4.0,Chiefs,Ken Lacy 7 yard pass from Bill Kenney (Nick Lowery kick),7,21
4,4.0,Jets,Cedric Minter 39 yard pass from Pat Ryan (Pat Leahy kick),7,28
