,Quarter,Time,Tm,Detail,DEN,SFO
0,1.0,,49ers,Ricky Watters 12 yard pass from Steve Young (Doug Brien kick),0,7
1,1.0,9:19,49ers,Jerry Rice 23 yard pass from Steve Young (Doug Brien kick),0,14
2,2.0,6:01,49ers,William Floyd 11 yard rush (Doug Brien kick),0,21
3,2.0,6:01,Broncos,Jason Elam 28 yard field goal,3,21
4,2.0,6:01,49ers,William Floyd 1 yard rush (Doug Brien kick),3,28
5,2.0,6:01,Broncos,Jason Elam 45 yard field goal,6,28
6,3.0,6:01,Broncos,Glyn Milburn 11 yard rush (Jason Elam kick),13,28
7,3.0,6:01,49ers,Ricky Watters 9 yard rush (Doug Brien kick),13,35
8,3.0,6:01,Broncos,Derrick Clark 1 yard rush (run failed),19,35
9,3.0,6:01,49ers,Ricky Watters 65 yard pass from Steve Young (Doug Brien kick),19,42
