,Quarter,Time,Tm,Detail,DEN,RAM
0,1.0,,Rams,Jerome Bettis 1 yard rush (Tony Zendejas kick),0,7
1,2.0,7:23,Rams,Howard Griffith 3 yard pass from Chris Chandler (Tony Zendejas kick),0,14
2,2.0,7:23,Broncos,Jason Elam 42 yard field goal,3,14
3,2.0,7:23,Rams,Tony Zendejas 35 yard field goal,3,17
4,3.0,7:23,Rams,Flipper Anderson 30 yard pass from Chris Chandler (Tony Zendejas kick),3,24
5,3.0,7:23,Broncos,Jason Elam 29 yard field goal,6,24
6,4.0,7:23,Broncos,Glyn Milburn 20 yard pass from John Elway (Shannon Sharpe pass from John Elway),14,24
7,4.0,7:23,Rams,Tony Zendejas 18 yard field goal,14,27
8,4.0,7:23,Broncos,Derek Russell 12 yard pass from John Elway (Jason Elam kick),21,27
