,Quarter,Tm,Detail,TAM,CHI
0,1.0,Buccaneers,Calvin Magee 1 yard pass from Steve DeBerg (Donald Igwebuike kick),7,0
1,1.0,Bears,Dennis McKinnon 21 yard pass from Jim McMahon (Kevin Butler kick),7,7
2,1.0,Buccaneers,Kevin House 44 yard pass from Steve DeBerg (Donald Igwebuike kick),14,7
3,2.0,Buccaneers,Jerry Bell 11 yard pass from Steve DeBerg (Donald Igwebuike kick),21,7
4,2.0,Bears,Jim McMahon 1 yard rush (Kevin Butler kick),21,14
5,2.0,Bears,Kevin Butler 38 yard field goal,21,17
6,2.0,Buccaneers,James Wilder 3 yard rush (Donald Igwebuike kick),28,17
7,3.0,Bears,Leslie Frazier 29 yard interception return (Kevin Butler kick),28,24
8,3.0,Bears,Matt Suhey 9 yard pass from Jim McMahon (Kevin Butler kick),28,31
9,4.0,Bears,Jim McMahon 1 yard rush (Kevin Butler kick),28,38
