,Quarter,Tm,Detail,TAM,DAL
0,1.0,Cowboys,Butch Johnson 28 yard pass from Danny White (Rafael Septien kick),0,7
1,1.0,Buccaneers,Doug Williams 11 yard rush (Garo Yepremian kick),7,7
2,2.0,Buccaneers,Garo Yepremian 22 yard field goal,10,7
3,2.0,Buccaneers,Jimmie Giles 49 yard pass from Doug Williams (Garo Yepremian kick),17,7
4,2.0,Cowboys,Billy Joe DuPree 9 yard pass from Danny White (Rafael Septien kick),17,14
5,3.0,Cowboys,Robert Newhouse 2 yard rush (Rafael Septien kick),17,21
6,4.0,Cowboys,Billy Joe DuPree 9 yard pass from Danny White (Rafael Septien kick),17,28
