,Quarter,Time,Tm,Detail,ARI,STL
0,1.0,7:38,Cardinals,Marcel Shipp 1 yard rush (Neil Rackers kick),7,0
1,1.0,1:02,Rams,Jeff Wilkins 27 yard field goal,7,3
2,2.0,5:49,Cardinals,Larry Fitzgerald 11 yard pass from Matt Leinart (Neil Rackers kick),14,3
3,2.0,0:18,Cardinals,Neil Rackers 23 yard field goal,17,3
4,3.0,12:14,Rams,Torry Holt 15 yard pass from Marc Bulger (Jeff Wilkins kick),17,10
5,3.0,2:10,Cardinals,Marcel Shipp 6 yard rush (Neil Rackers kick),24,10
6,4.0,14:30,Rams,Jeff Wilkins 37 yard field goal,24,13
7,4.0,8:14,Cardinals,Marcel Shipp 9 yard rush (Neil Rackers kick),31,13
8,4.0,1:57,Cardinals,Neil Rackers 20 yard field goal,34,13
9,4.0,0:35,Rams,Isaac Bruce 1 yard pass from Marc Bulger (Jeff Wilkins kick),34,20
