,Quarter,Tm,Detail,RAM,CLE
0,1.0,Rams,Bruce Gossett 22 yard field goal,3,0
1,1.0,Rams,Tommy Mason 6 yard rush (Bruce Gossett kick),10,0
2,2.0,Browns,Paul Warfield 57 yard pass from Frank Ryan,10,6
3,4.0,Rams,Bernie Casey 26 yard pass from Roman Gabriel (Bruce Gossett kick),17,6
4,4.0,Rams,Tommy Mason 4 yard rush (Bruce Gossett kick),24,6
