,Quarter,Tm,Detail,PHI,STL
0,1.0,Eagles,Norm Snead 11 yard rush (Sam Baker kick),7,0
1,1.0,Cardinals,Jim Bakken 35 yard field goal,7,3
2,2.0,Cardinals,Jim Bakken 37 yard field goal,7,6
3,2.0,Cardinals,Jerry Stovall 31 yard interception return (Jim Bakken kick),7,13
4,2.0,Cardinals,Billy Gambrell 12 yard pass from Charley Johnson (Jim Bakken kick),7,20
5,2.0,Eagles,Pete Retzlaff 35 yard pass from Norm Snead (Sam Baker kick),14,20
6,2.0,Eagles,Ron Goodwin 44 yard pass from Norm Snead (Sam Baker kick),21,20
7,2.0,Cardinals,Jackie Smith 42 yard pass from Charley Johnson (Jim Bakken kick),21,27
8,2.0,Eagles,Ray Poage 42 yard pass from Norm Snead,27,27
9,2.0,Cardinals,Jim Bakken 27 yard field goal,27,30
10,3.0,Cardinals,Jim Bakken 32 yard field goal,27,33
11,4.0,Eagles,Earl Gros 1 yard rush (Sam Baker kick),34,33
12,4.0,Cardinals,Jim Bakken 19 yard field goal,34,36
