,Quarter,Time,Tm,Detail,IND,NWE
0,1.0,,Patriots,Adam Vinatieri 19 yard field goal,0,3
1,1.0,,Patriots,Ty Law 59 yard interception return (Adam Vinatieri kick),0,10
2,2.0,,Patriots,Adam Vinatieri 23 yard field goal,0,13
3,2.0,0:07,Patriots,Adam Vinatieri 52 yard field goal,0,16
4,3.0,0:07,Patriots,Terry Glenn 3 yard pass from Drew Bledsoe (pass failed),0,22
5,4.0,0:07,Patriots,Robert Edwards 1 yard rush (Adam Vinatieri kick),0,29
6,4.0,0:07,Colts,Torrance Small 3 yard pass from Peyton Manning (pass failed),6,29
