,Quarter,Time,Tm,Detail,IND,STL
0,1.0,9:29,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),0,7
1,1.0,4:25,Colts,Dominic Rhodes 1 yard rush (Mike Vanderjagt kick),7,7
2,2.0,14:18,Rams,Marshall Faulk 4 yard rush (Jeff Wilkins kick),7,14
3,2.0,9:45,Colts,Peyton Manning 1 yard rush (Mike Vanderjagt kick),14,14
4,2.0,8:44,Rams,Torry Holt 21 yard pass from Kurt Warner (Jeff Wilkins kick),14,21
5,2.0,1:45,Rams,Marshall Faulk 5 yard pass from Kurt Warner (Jeff Wilkins kick),14,28
6,2.0,0:27,Rams,Torry Holt 46 yard pass from Kurt Warner (Jeff Wilkins kick),14,35
7,3.0,9:52,Colts,Mike Vanderjagt 48 yard field goal,17,35
8,4.0,13:21,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),17,42
